STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_NORM,RGSA_x,RGSA_GAS_EFFECT,NGSA_x,NGSA_GAS_EFFECT,DGSA_x,DGSA_GAS_EFFECT,DENS_DIFF,RGSA_ANOM,NGSA_ANOM,DGSA_ANOM,SCORE,ZONA,RGSA_y,NGSA_y,DGSA_y
ABAB,ABB-041,1385.4684,,-39.0897,44.776,1.306,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.8672711105640052,0.3732,2.0999999999999996
ABAB,ABB-041,1385.6208,,-39.1577,44.776,1.353,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.8613729534687373,0.3732,2.0999999999999996
ABAB,ABB-041,1385.7732,,-39.2258,44.776,1.355,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.8594977663444843,0.3732,2.0999999999999996
ABAB,ABB-041,1385.9256,,-39.2939,44.776,1.357,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.8616193503899616,0.3732,2.0999999999999996
ABAB,ABB-041,1386.078,,-39.498,44.776,1.359,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.8637461713529021,0.3732,2.0999999999999996
ABAB,ABB-041,1386.2304,,-39.702,44.776,1.36,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.8658782421601111,0.3732,2.0999999999999996
ABAB,ABB-041,1386.3828,,-39.9061,44.776,1.356,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.8680155757703061,0.3732,2.0999999999999996
ABAB,ABB-041,1386.5352,,-41.0782,44.776,1.351,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.8701581851741822,0.3732,2.0999999999999996
ABAB,ABB-041,1386.6876,,-42.2493,44.776,1.347,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.87230608339451,0.3732,2.0999999999999996
ABAB,ABB-041,1386.84,,-43.4153,44.776,1.342,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.8744592834862027,0.3732,2.0999999999999996
ABAB,ABB-041,1386.9924,,-44.5814,44.776,1.338,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.8766177985364013,0.3732,2.0999999999999996
ABAB,ABB-041,1387.1448,,-45.7475,44.776,1.323,0.3732,2.1,GUF,40.0,,False,,False,,False,,False,False,False,0,Non Prospek,0.8787816416645414,0.3732,2.0999999999999996
