STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,VSH_GR
ABAB,ABB-138,703.0212,8.3662,-25.0,80.0795,0.8204,0.3671,2.0392,MEF,
ABAB,ABB-138,703.1736,8.3789,-24.6597,83.2587,0.9446,0.3557,2.0378,MEF,
ABAB,ABB-138,703.326,8.4296,-23.7361,88.2998,1.0375,0.3553,2.0455,MEF,
ABAB,ABB-138,703.4784,8.5564,-23.5156,92.0754,1.0421,0.3637,2.0601,MEF,
ABAB,ABB-138,703.6308,8.8101,-23.6944,87.0273,1.0248,0.3922,2.0672,MEF,
ABAB,ABB-138,703.7832,8.8354,-23.9722,81.3581,1.0434,0.3975,2.0745,MEF,
ABAB,ABB-138,703.9356,8.7086,-24.0625,77.9714,1.1287,0.3712,2.0662,MEF,
ABAB,ABB-138,704.088,8.5818,-24.2969,80.491,1.0991,0.3768,2.0662,MEF,
ABAB,ABB-138,704.2404,8.4677,-24.7083,82.9015,1.0259,0.3683,2.0646,MEF,
ABAB,ABB-138,704.3928,8.455,-25.2083,89.7392,0.9649,0.3566,2.0645,MEF,
ABAB,ABB-138,704.5452,8.4677,-25.4306,90.9063,1.0771,0.363,2.0563,MEF,
ABAB,ABB-138,704.6976,8.4804,-25.5903,89.7105,0.9783,0.3788,2.0498,MEF,
ABAB,ABB-138,704.85,8.5311,-25.6319,86.6193,0.9653,0.4009,2.0558,MEF,
ABAB,ABB-138,705.0024,8.5438,-25.3047,87.4904,0.985,0.3991,2.0566,MEF,
ABAB,ABB-138,705.1548,8.5945,-25.2986,90.9251,1.0471,0.4038,2.0653,MEF,
ABAB,ABB-138,705.3072,8.5057,-25.4097,95.4914,1.1109,0.4112,2.0714,MEF,
ABAB,ABB-138,705.4596,8.4043,-25.3889,90.7083,1.2173,0.3903,2.0758,MEF,
ABAB,ABB-138,705.612,8.493,-25.6389,86.2318,1.1344,0.3917,2.0882,MEF,
ABAB,ABB-138,705.7644,8.5691,-26.4141,80.7586,1.0469,0.4041,2.1021,MEF,
ABAB,ABB-138,705.9168,8.5564,-27.1319,81.6504,1.0458,0.3897,2.1223,MEF,
ABAB,ABB-138,706.0692,8.3536,-27.9931,83.422,1.0072,0.4265,2.1203,MEF,
ABAB,ABB-138,706.2216,8.4043,-28.6528,88.8495,1.0931,0.4081,2.118,MEF,
ABAB,ABB-138,706.374,8.5818,-29.4766,96.7527,1.1323,0.3987,2.1222,MEF,
ABAB,ABB-138,706.5264,8.6325,-31.1736,102.4816,1.1972,0.3672,2.1384,MEF,
ABAB,ABB-138,706.6788,8.6579,-32.1528,104.0829,1.2552,0.4034,2.149,MEF,
ABAB,ABB-138,706.8312,8.6832,-33.1042,102.7178,1.2385,0.4121,2.1495,MEF,
ABAB,ABB-138,706.9836,8.5564,-33.6806,103.7594,1.241,0.4061,2.1482,MEF,
ABAB,ABB-138,707.136,8.7974,-34.8264,102.7751,1.2864,0.3804,2.1566,MEF,
ABAB,ABB-138,707.2884,8.772,-35.4844,101.129,1.2239,0.394,2.1604,MEF,
ABAB,ABB-138,707.4408,8.7466,-36.1875,97.799,1.2536,0.4158,2.1626,MEF,
ABAB,ABB-138,707.5932,8.734,-37.1181,95.3344,1.31,0.4248,2.1646,MEF,
ABAB,ABB-138,707.7456,8.734,-38.2431,103.4651,1.2272,0.3959,2.1729,MEF,
ABAB,ABB-138,707.898,8.734,-39.5069,108.1492,1.2184,0.3739,2.1754,MEF,
ABAB,ABB-138,708.0504,8.6579,-40.9653,117.5457,1.1708,0.3812,2.1732,MEF,
ABAB,ABB-138,708.2028,8.5818,-41.6797,115.2173,1.1461,0.4031,2.1699,MEF,
ABAB,ABB-138,708.3552,8.4804,-42.9653,112.9282,1.1213,0.3879,2.1744,MEF,
ABAB,ABB-138,708.5076,8.455,-44.0764,105.7882,1.0684,0.4149,2.1303,MEF,
ABAB,ABB-138,708.66,8.4296,-45.0208,96.5958,1.1888,0.4721,1.9848,MEF,
ABAB,ABB-138,708.8124,8.455,-46.2153,83.0353,2.4331,0.6379,1.7227,MEF,
ABAB,ABB-138,708.9648,8.6072,-47.4453,69.8296,3.2249,0.8818,1.4536,MEF,
ABAB,ABB-138,709.1172,8.6832,-48.7431,56.0899,2.7775,1.3,1.2787,MEF,
ABAB,ABB-138,709.2696,8.6832,-50.5694,48.5923,2.3769,1.239,1.2143,MEF,
ABAB,ABB-138,709.422,8.6706,-51.3403,44.6306,1.9236,1.1085,1.2044,MEF,
ABAB,ABB-138,709.5744,8.6832,-51.7153,43.1272,1.7881,0.998,1.2036,MEF,
ABAB,ABB-138,709.7268,8.6832,-52.4167,45.3351,1.8434,0.9333,1.2091,MEF,
ABAB,ABB-138,709.8792,8.6832,-53.1797,48.3925,2.2247,1.043,1.2143,MEF,
ABAB,ABB-138,710.0316,8.6579,-53.5,53.7506,2.9799,0.9806,1.2165,MEF,
ABAB,ABB-138,710.184,8.6579,-53.8958,51.0957,3.4372,0.9364,1.2131,MEF,
ABAB,ABB-138,710.3364,8.6832,-54.2917,46.5371,3.2812,0.8985,1.2044,MEF,
ABAB,ABB-138,710.4888,8.7086,-54.5764,43.5033,3.3186,1.2367,1.1978,MEF,
ABAB,ABB-138,710.6412,8.6959,-54.6111,46.7123,3.7224,1.4084,1.2343,MEF,
ABAB,ABB-138,710.7936,8.6706,-55.0391,60.0873,2.9758,0.9617,1.3696,MEF,
ABAB,ABB-138,710.946,8.6579,-55.3472,75.422,1.8908,0.6598,1.6167,MEF,
ABAB,ABB-138,711.0984,8.7593,-55.875,95.7843,1.8544,0.54,1.8617,MEF,
ABAB,ABB-138,711.2508,8.7847,-55.9097,111.0436,1.9366,0.5826,2.0276,MEF,
ABAB,ABB-138,711.4032,8.7847,-55.625,120.9826,1.6887,0.5647,2.0917,MEF,
ABAB,ABB-138,711.5556,8.6959,-55.3516,124.5422,1.5999,0.5069,2.1293,MEF,
ABAB,ABB-138,711.708,8.6072,-54.3194,124.8338,1.5112,0.4718,2.1477,MEF,
ABAB,ABB-138,711.8604,8.5564,-53.4028,115.9905,1.3467,0.4459,2.1576,MEF,
ABAB,ABB-138,712.0128,8.4677,-53.7917,114.6697,1.288,0.4328,2.1489,MEF,
ABAB,ABB-138,712.1652,8.493,-54.1528,116.8327,1.2676,0.4224,2.1352,MEF,
ABAB,ABB-138,712.3176,8.5184,-55.2361,127.4424,1.2272,0.4422,2.1033,MEF,
ABAB,ABB-138,712.47,8.7847,-56.6406,132.3206,1.0678,0.4825,2.0779,MEF,
ABAB,ABB-138,712.6224,8.7847,-57.3194,133.5849,0.994,0.5859,2.0666,MEF,
ABAB,ABB-138,712.7748,8.734,-57.5486,125.7386,0.9549,0.6239,2.0682,MEF,
ABAB,ABB-138,712.9272,8.8608,-57.7569,122.9903,0.9794,0.6443,2.0719,MEF,
ABAB,ABB-138,713.0796,9.0383,-57.7639,126.1985,0.9833,0.4803,2.066,MEF,
ABAB,ABB-138,713.232,9.368,-57.5556,127.9854,0.9778,0.4821,2.0606,MEF,
ABAB,ABB-138,713.3844,8.8354,-57.6406,124.3502,1.0633,0.4449,2.0496,MEF,
ABAB,ABB-138,713.5368,9.1017,-57.7708,126.783,0.9969,0.4648,2.0383,MEF,
ABAB,ABB-138,713.6892,8.9495,-57.8333,129.2866,0.9523,0.5042,2.0326,MEF,
ABAB,ABB-138,713.8416,8.6833,-57.8194,132.913,0.9585,0.543,2.0321,MEF,
ABAB,ABB-138,713.994,8.9622,-58.0078,129.8823,0.995,0.4948,2.0466,MEF,
ABAB,ABB-138,714.1464,8.9622,-58.1597,133.1195,1.0329,0.4494,2.0529,MEF,
ABAB,ABB-138,714.2988,8.772,-57.8611,132.3886,1.0293,0.4785,2.0549,MEF,
ABAB,ABB-138,714.4512,8.7213,-57.7639,126.1473,0.9734,0.5149,2.037,MEF,
ABAB,ABB-138,714.6036,8.7086,-57.4722,125.1455,1.0084,0.5333,2.0388,MEF,
ABAB,ABB-138,714.756,8.6832,-57.1111,126.8843,1.1065,0.5754,2.0513,MEF,
ABAB,ABB-138,714.9084,8.8608,-56.5078,135.174,1.0639,0.5267,2.0736,MEF,
ABAB,ABB-138,715.0608,8.7593,-56.8056,134.0158,1.0125,0.5241,2.0709,MEF,
ABAB,ABB-138,715.2132,8.6959,-57.1319,130.155,1.0234,0.5084,2.0601,MEF,
