STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,VSH_GR,GR_RAW,GR_NORM,GR_RAW_NORM
ABAB,ABB-035,1389.4308,,-23.733,22.642,1.647,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1389.5832,,-24.029,22.642,1.635,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1389.7356,,-24.324,22.642,1.624,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1389.888,,-24.62,22.642,1.629,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1390.0404,,-24.915,22.642,1.634,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1390.1928,,-24.629,22.642,1.64,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1390.3452,,-24.343,22.642,1.645,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1390.4976,,-24.056,22.642,1.645,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1390.65,,-24.128,22.642,1.645,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1390.8024,,-24.199,22.642,1.645,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1390.9548,,-23.375,22.642,1.645,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1391.1072,,-22.55,22.642,1.645,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1391.2596,,-21.725,22.642,1.644,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1391.412,,-22.086,22.642,1.644,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1391.5644,,-22.447,22.642,1.63,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1391.7168,,-23.204,22.642,1.616,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1391.8692,,-23.962,22.642,1.603,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1392.0216,,-23.677,22.642,1.584,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1392.174,,-23.392,22.642,1.564,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1392.3264,,-23.776,22.642,1.545,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1392.4788,,-24.159,22.642,1.526,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1392.6312,,-23.538,22.642,1.516,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1392.7836,,-22.916,22.642,1.506,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1392.936,,-22.295,22.642,1.496,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1393.0884,,-21.673,22.642,1.486,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1393.2408,,-20.973,22.642,1.484,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1393.3932,,-20.273,22.642,1.482,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1393.5456,,-19.573,22.642,1.48,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1393.698,,-20.954,22.642,1.478,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1393.8504,,-22.335,22.642,1.476,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1394.0028,,-23.031,22.642,1.488,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1394.1552,,-23.726,22.642,1.499,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1394.3076,,-24.422,22.642,1.511,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1394.46,,-23.848,22.642,1.504,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1394.6124,,-23.274,22.642,1.497,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1394.7648,,-22.701,22.642,1.49,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1394.9172,,-22.127,22.642,1.483,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1395.0696,,-23.067,22.642,1.46,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1395.222,,-24.007,22.642,1.436,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1395.3744,,-23.819,22.642,1.413,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1395.5268,,-23.631,22.642,1.373,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1395.6792,,-23.444,22.642,1.334,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1395.8316,,-23.256,22.642,1.294,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1395.984,,-23.068,22.642,1.27,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1396.1364,,-22.782,22.642,1.247,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1396.2888,,-22.497,22.642,1.229,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1396.4412,,-23.042,22.642,1.21,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1396.5936,,-23.587,22.642,1.196,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1396.746,,-24.133,22.642,1.181,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1396.8984,,-23.91,22.642,1.219,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1397.0508,,-23.688,22.642,1.257,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1397.2032,,-24.068,22.642,1.295,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1397.3556,,-24.448,22.642,1.324,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1397.508,,-24.829,22.642,1.353,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1397.6604,,-24.163,22.642,1.382,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1397.8128,,-23.498,22.642,1.357,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1397.9652,,-22.833,22.642,1.333,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1398.1176,,-23.655,22.642,1.255,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1398.27,,-25.172,22.642,1.178,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1398.4224,,-26.689,22.642,1.101,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1398.5748,,-28.205,22.642,1.033,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1398.7272,,-29.039,22.642,0.965,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1398.8796,,-29.874,22.642,0.897,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1399.032,,-28.69,22.642,0.851,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1399.1844,,-27.507,22.642,0.805,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1399.3368,,-26.324,22.642,0.76,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1399.4892,,-25.14,22.642,0.708,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1399.6416,,-25.783,22.642,0.657,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1399.794,,-26.089,22.642,0.623,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1399.9464,,-26.395,22.642,0.589,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1400.0988,,-26.701,22.642,0.563,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1400.2512,,-25.434,22.642,0.538,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1400.4036,,-24.167,22.642,0.512,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1400.556,,-22.9,22.642,0.507,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1400.7084,,-21.633,22.642,0.502,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1400.8608,,-20.367,22.642,0.496,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1401.0132,,-20.571,22.642,0.53,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1401.1656,,-20.776,22.642,0.565,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1401.318,,-21.235,22.642,0.599,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1401.4704,,-21.694,22.642,0.655,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1401.6228,,-22.154,22.642,0.712,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1401.7752,,-21.65,22.642,0.768,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1401.9276,,-21.147,22.642,0.841,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1402.08,,-20.643,22.642,0.915,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1402.2324,,-21.978,22.642,0.963,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1402.3848,,-21.204,22.642,1.011,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1402.5372,,-20.43,22.642,1.059,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1402.6896,,-19.656,22.642,1.04,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1402.842,,-18.882,22.642,1.021,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1402.9944,,-20.364,22.642,1.002,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1403.1468,,-21.86,22.642,0.915,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1403.2992,,-23.357,22.642,0.829,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
ABAB,ABB-035,1403.4516,,-23.201,22.642,0.754,0.4611,2.157,GUF,0.0,,59.602222222222224,59.602222222222224
