DEPTH,STRUKTUR,WELL_NAME,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_RAW,GR_NORM,GR_RAW_NORM,VSH_GR,VSH,PHIE_DEN,PHIT_DEN,PHIE,PHIT,RHO_MAT,RESERVOIR_CLASS,RGSA,GAS_EFFECT_RT,RT_RATIO,RT_DIFF,NGSA,GAS_EFFECT_NPHI,NPHI_DIFF,DGSA,GAS_EFFECT_RHOB,DENS_DIFF,RGSA_ANOM,NGSA_ANOM,DGSA_ANOM,SCORE,ZONA,RW_TEMP,SWE_INDO,SW,RWA_FULL,RWA_SIMPLE,RWA_TAR
1677.924,ABAB,ABB-036,9.292,-65.4006,148.507,2.026,0.3519,2.413,B1,,207.2494252873564,207.2494252873564,1.0,1.0,,,,,,,2.406284874687795,False,0.8419618231041179,-0.3802848746877951,0.3344121609883861,False,-0.0174878390116138,2.396524552734875,False,-0.0164754472651247,False,False,False,0,Non Prospek,1.2951379310344828,,,,,
1678.0764,ABAB,ABB-036,9.231,-66.274,147.716,1.968,0.3926,2.401,B1,,206.34022988505748,206.34022988505748,1.0,1.0,,,,,,,2.4195093468168523,False,0.8133880543132161,-0.4515093468168523,0.3321281963668157,False,-0.0604718036331843,2.3980921547467253,False,-0.0029078452532744,False,False,False,0,Non Prospek,1.2951379310344828,,,,,
1678.2288,ABAB,ABB-036,9.17,-66.3154,145.73,1.911,0.4074,2.398,B1,,204.0574712643678,204.0574712643678,1.0,1.0,,,,,,,2.4626147033217203,False,0.7760044628265763,-0.5516147033217202,0.3263254387566134,False,-0.0810745612433865,2.3990559696535074,True,0.0010559696535072,False,False,True,1,Zona Lemah,1.2951379310344828,,,,,
1678.3812,ABAB,ABB-036,9.75,-66.3578,143.744,1.854,0.4145,2.394,B1,,201.77471264367816,201.77471264367816,1.0,1.0,,,,,,,2.5244390194826747,False,0.734420592334187,-0.6704390194826746,0.3200569630052134,False,-0.0944430369947865,2.39849110385641,True,0.0044911038564099,False,False,True,1,Zona Lemah,1.2951379310344828,,,,,
1678.5336,ABAB,ABB-036,10.431,-65.1922,142.412,1.797,0.4427,2.334,B1,,200.2436781609196,200.2436781609196,1.0,1.0,,,,,,,2.582966306210234,False,0.6957117464828972,-0.785966306210234,0.3154282009568443,False,-0.1272717990431556,2.397263367958617,True,0.0632633679586169,False,False,True,1,Zona Lemah,1.2951379310344828,,,,,
1678.686,ABAB,ABB-036,10.402,-64.2805,141.5291,1.817,0.4851,2.22,B1,,199.22885057471265,199.22885057471265,1.0,1.0,,,,,,,2.6302512572477705,False,0.6908085282701332,-0.8132512572477706,0.3121725874735259,False,-0.172927412526474,2.3961734553182046,True,0.1761734553182043,False,False,True,1,Zona Lemah,1.2951379310344828,,,,,
1678.8384,ABAB,ABB-036,10.279,-63.3689,143.656,1.836,0.5088,2.158,B1,,201.6735632183908,201.6735632183908,1.0,1.0,,,,,,,2.577591546238463,False,0.7122928389020037,-0.7415915462384628,0.3186162519462874,False,-0.1901837480537126,2.39610881707354,True,0.2381088170735399,False,False,True,1,Zona Lemah,1.2951379310344828,,,,,
1678.9908,ABAB,ABB-036,10.376,-63.1683,146.205,1.856,0.4814,2.12,B1,,204.6034482758621,204.6034482758621,1.0,1.0,,,,,,,2.5204451452900467,False,0.7363778590731505,-0.6644451452900466,0.3259896574752448,False,-0.1554103425247552,2.39634979165868,True,0.2763497916586801,False,False,True,1,Zona Lemah,1.2951379310344828,,,,,
1679.1432,ABAB,ABB-036,10.412,-62.9677,148.888,2.058,0.4607,2.117,B1,,207.68735632183908,207.68735632183908,1.0,1.0,,,,,,,2.468927846617251,False,0.833560204207557,-0.410927846617251,0.3332729960686098,False,-0.1274270039313901,2.396949167680696,True,0.2799491676806958,False,False,True,1,Zona Lemah,1.2951379310344828,,,,,
1679.2956,ABAB,ABB-036,10.273,-62.8281,154.369,2.26,0.44,2.149,B1,,213.98735632183903,213.98735632183903,1.0,1.0,,,,,,,2.379030031568876,False,0.9499669907527898,-0.1190300315688763,0.3468009899691413,False,-0.0931990100308586,2.4000647324360007,True,0.2510647324360007,False,False,True,1,Zona Lemah,1.2951379310344828,,,,,
