DEPTH,STRUKTUR,WELL_NAME,CALI,SP,GR,RT,NPHI,RHOB,MARKER
1388.9736,ABAB,ABB-122,,-52.0765,69.541,0.82,0.3972,2.19,GUF
1389.126,ABAB,ABB-122,,-52.1182,69.541,0.863,0.3972,2.19,GUF
1389.2784,ABAB,ABB-122,,-51.854,69.541,0.907,0.3972,2.19,GUF
1389.4308,ABAB,ABB-122,,-51.5887,69.541,0.942,0.3972,2.19,GUF
1389.5832,ABAB,ABB-122,,-51.3245,69.541,0.979,0.3972,2.19,GUF
1389.7356,ABAB,ABB-122,,-51.1292,69.541,0.989,0.3972,2.19,GUF
1389.888,ABAB,ABB-122,,-50.9329,69.541,0.999,0.3972,2.19,GUF
1390.0404,ABAB,ABB-122,,-50.7367,69.541,1.025,0.3972,2.19,GUF
1390.1928,ABAB,ABB-122,,-50.5414,69.541,1.052,0.3972,2.19,GUF
1390.3452,ABAB,ABB-122,,-51.6592,69.541,1.08,0.3972,2.19,GUF
1390.4976,ABAB,ABB-122,,-52.7779,69.541,1.108,0.3972,2.19,GUF
1390.65,ABAB,ABB-122,,-53.8957,69.541,1.159,0.3972,2.19,GUF
1390.8024,ABAB,ABB-122,,-54.8264,69.541,1.212,0.3972,2.19,GUF
1390.9548,ABAB,ABB-122,,-54.8821,69.541,1.268,0.3972,2.19,GUF
1391.1072,ABAB,ABB-122,,-54.9379,69.541,1.371,0.3972,2.19,GUF
1391.2596,ABAB,ABB-122,,-54.6776,69.541,1.418,0.3972,2.19,GUF
1391.412,ABAB,ABB-122,,-54.4184,69.541,1.467,0.3972,2.19,GUF
1391.5644,ABAB,ABB-122,,-54.6131,69.541,1.495,0.3972,2.19,GUF
1391.7168,ABAB,ABB-122,,-54.8069,69.541,1.523,0.3972,2.19,GUF
1391.8692,ABAB,ABB-122,,-55.0006,69.541,1.552,0.3972,2.19,GUF
1392.0216,ABAB,ABB-122,,-55.0654,69.541,1.541,0.3972,2.19,GUF
1392.174,ABAB,ABB-122,,-55.1301,69.541,1.529,0.3972,2.19,GUF
1392.3264,ABAB,ABB-122,,-54.8588,69.541,1.518,0.3972,2.19,GUF
1392.4788,ABAB,ABB-122,,-54.5876,69.541,1.47,0.3972,2.19,GUF
1392.6312,ABAB,ABB-122,,-54.3163,69.541,1.424,0.3972,2.19,GUF
1392.7836,ABAB,ABB-122,,-54.0451,69.541,1.38,0.3972,2.19,GUF
1392.936,ABAB,ABB-122,,-53.9028,69.541,1.327,0.3972,2.19,GUF
1393.0884,ABAB,ABB-122,,-53.7616,69.541,1.277,0.3972,2.19,GUF
1393.2408,ABAB,ABB-122,,-53.6203,69.541,1.228,0.3972,2.19,GUF
1393.3932,ABAB,ABB-122,,-53.479,69.541,1.17,0.3972,2.19,GUF
1393.5456,ABAB,ABB-122,,-53.4648,69.541,1.114,0.3972,2.19,GUF
1393.698,ABAB,ABB-122,,-53.4505,69.541,1.061,0.3972,2.19,GUF
1393.8504,ABAB,ABB-122,,-53.4353,69.541,1.041,0.3972,2.19,GUF
1394.0028,ABAB,ABB-122,,-53.421,69.541,1.02,0.3972,2.19,GUF
1394.1552,ABAB,ABB-122,,-53.0668,69.541,1.0,0.3972,2.19,GUF
1394.3076,ABAB,ABB-122,,-52.7115,69.541,0.981,0.3972,2.19,GUF
1394.46,ABAB,ABB-122,,-52.3563,69.541,0.974,0.3972,2.19,GUF
1394.6124,ABAB,ABB-122,,-52.002,69.541,0.966,0.3972,2.19,GUF
1394.7648,ABAB,ABB-122,,-51.4877,69.541,0.984,0.3972,2.19,GUF
1394.9172,ABAB,ABB-122,,-50.9735,69.541,1.002,0.3972,2.19,GUF
1395.0696,ABAB,ABB-122,,-51.7042,69.541,1.02,0.3972,2.19,GUF
1395.222,ABAB,ABB-122,,-52.435,69.541,1.039,0.3972,2.19,GUF
1395.3744,ABAB,ABB-122,,-53.1947,69.541,1.111,0.3972,2.19,GUF
1395.5268,ABAB,ABB-122,,-53.9555,69.541,1.214,0.3972,2.19,GUF
1395.6792,ABAB,ABB-122,,-54.7162,69.541,1.327,0.3972,2.19,GUF
1395.8316,ABAB,ABB-122,,-54.8399,69.541,1.399,0.3972,2.19,GUF
1395.984,ABAB,ABB-122,,-54.9637,69.541,1.476,0.3972,2.19,GUF
1396.1364,ABAB,ABB-122,,-54.3654,69.541,1.504,0.3972,2.19,GUF
1396.2888,ABAB,ABB-122,,-53.7662,69.541,1.533,0.3972,2.19,GUF
1396.4412,ABAB,ABB-122,,-53.1429,69.541,1.513,0.3972,2.19,GUF
1396.5936,ABAB,ABB-122,,-52.5197,69.541,1.495,0.3972,2.19,GUF
1396.746,ABAB,ABB-122,,-52.7944,69.541,1.451,0.3972,2.19,GUF
1396.8984,ABAB,ABB-122,,-53.0691,69.541,1.409,0.3972,2.19,GUF
1397.0508,ABAB,ABB-122,,-53.7109,69.541,1.368,0.3972,2.19,GUF
1397.2032,ABAB,ABB-122,,-54.3526,69.541,1.344,0.3972,2.19,GUF
1397.3556,ABAB,ABB-122,,-54.2304,69.541,1.321,0.3972,2.19,GUF
1397.508,ABAB,ABB-122,,-54.4321,69.541,1.35,0.3972,2.19,GUF
1397.6604,ABAB,ABB-122,,-54.6329,69.541,1.38,0.3972,2.19,GUF
1397.8128,ABAB,ABB-122,,-55.3016,69.541,1.411,0.3972,2.19,GUF
1397.9652,ABAB,ABB-122,,-54.7554,69.541,1.451,0.3972,2.19,GUF
1398.1176,ABAB,ABB-122,,-53.6641,69.541,1.493,0.3972,2.19,GUF
1398.27,ABAB,ABB-122,,-52.5728,69.541,1.535,0.3972,2.19,GUF
1398.4224,ABAB,ABB-122,,-53.0716,69.541,1.544,0.3972,2.19,GUF
1398.5748,ABAB,ABB-122,,-53.5713,69.541,1.554,0.3972,2.19,GUF
1398.7272,ABAB,ABB-122,,-53.7411,69.541,1.563,0.3972,2.19,GUF
1398.8796,ABAB,ABB-122,,-53.9108,69.541,1.577,0.3972,2.19,GUF
1399.032,ABAB,ABB-122,,-53.8076,69.541,1.591,0.3972,2.19,GUF
1399.1844,ABAB,ABB-122,,-55.2193,69.541,1.62,0.3972,2.19,GUF
1399.3368,ABAB,ABB-122,,-56.63,69.541,1.65,0.3972,2.19,GUF
1399.4892,ABAB,ABB-122,,-59.0098,69.541,1.659,0.3972,2.19,GUF
1399.6416,ABAB,ABB-122,,-61.3895,69.541,1.668,0.3972,2.19,GUF
1399.794,ABAB,ABB-122,,-62.0693,69.541,1.678,0.3972,2.19,GUF
1399.9464,ABAB,ABB-122,,-62.748,69.541,1.643,0.3972,2.19,GUF
1400.0988,ABAB,ABB-122,,-62.2958,69.541,1.604,0.3972,2.19,GUF
1400.2512,ABAB,ABB-122,,-61.8435,69.541,1.566,0.3972,2.19,GUF
1400.4036,ABAB,ABB-122,,-61.8893,69.541,1.529,0.3972,2.19,GUF
1400.556,ABAB,ABB-122,,-61.935,69.541,1.518,0.3972,2.19,GUF
1400.7084,ABAB,ABB-122,,-61.9797,69.541,1.507,0.3972,2.19,GUF
1400.8608,ABAB,ABB-122,,-62.7785,69.541,1.549,0.3972,2.19,GUF
1401.0132,ABAB,ABB-122,,-63.5762,69.541,1.593,0.3972,2.19,GUF
1401.1656,ABAB,ABB-122,,-63.412,69.541,1.638,0.3972,2.19,GUF
1401.318,ABAB,ABB-122,,-63.2467,69.541,1.655,0.3972,2.19,GUF
1401.4704,ABAB,ABB-122,,-61.3865,69.541,1.672,0.3972,2.19,GUF
1401.6228,ABAB,ABB-122,,-61.5432,69.541,1.689,0.3972,2.19,GUF
1401.7752,ABAB,ABB-122,,-62.5459,69.541,1.611,0.3972,2.19,GUF
1401.9276,ABAB,ABB-122,,-63.5487,69.541,1.536,0.3972,2.19,GUF
1402.08,ABAB,ABB-122,,-64.5504,69.541,1.44,0.3972,2.19,GUF
1402.2324,ABAB,ABB-122,,-65.0282,69.541,1.35,0.3972,2.19,GUF
1402.3848,ABAB,ABB-122,,-65.5049,69.541,1.286,0.3972,2.19,GUF
1402.5372,ABAB,ABB-122,,-65.9817,69.541,1.225,0.3972,2.19,GUF
1402.6896,ABAB,ABB-122,,-66.0914,69.541,1.215,0.3972,2.19,GUF
1402.842,ABAB,ABB-122,,-66.2012,69.541,1.206,0.3972,2.19,GUF
1402.9944,ABAB,ABB-122,,-65.7039,69.541,1.196,0.3972,2.19,GUF
