STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_NORM,RGSA,GAS_EFFECT_RT,RT_RATIO,RT_DIFF,NGSA,GAS_EFFECT_NPHI,NPHI_DIFF,DGSA,GAS_EFFECT_RHOB,DENS_DIFF,RGSA_ANOM,NGSA_ANOM,DGSA_ANOM,SCORE,ZONA
ABAB,ABB-103,1378.0008,,-23.442,77.117,0.751,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,False,0.735513121875834,-0.2700558828436245,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1378.1532,,-22.823,77.117,0.854,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,False,0.8363890893235182,-0.1670558828436245,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1378.3056,,-22.674,77.117,0.956,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,False,0.9362856784464677,-0.06505588284362451,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1378.458,,-22.526,77.117,1.058,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,True,1.0361822675694172,0.03694411715637558,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1378.6104,,-22.378,77.117,1.16,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,True,1.1360788566923665,0.13894411715637545,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1378.7628,,-22.665,77.117,1.308,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,True,1.281026848753117,0.2869441171563756,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1378.9152,,-22.952,77.117,1.455,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,True,1.4249954624891323,0.4339441171563756,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1379.0676,,-23.239,77.117,1.565,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,True,1.5327270782099602,0.5439441171563755,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1379.22,,-22.777,77.117,1.675,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,True,1.6404586939307881,0.6539441171563756,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1379.3724,,-22.314,77.117,1.785,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,True,1.7481903096516158,0.7639441171563754,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1379.5248,,-21.741,77.117,1.835,0.3905,2.337,GUF,119.95774520727072,1.0210558828436245,True,1.797159225888356,0.8139441171563755,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1379.6772,,-21.167,77.117,1.885,0.3905,2.337,GUF,119.95774520727072,1.020380762734943,True,1.8473496059917909,0.864619237265057,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1379.8296,,-21.39,77.117,1.853,0.3905,2.337,GUF,119.95774520727072,1.0190318613866283,True,1.8183926040139367,0.8339681386133717,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1379.982,,-21.614,77.117,1.821,0.3905,2.337,GUF,119.95774520727072,1.0176847432303473,True,1.789355703830009,0.8033152567696527,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1380.1344,,-21.837,77.117,1.699,0.3905,2.337,GUF,119.95774520727072,1.0163394059087936,True,1.6716856496189705,0.6826605940912065,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1380.2868,,-21.849,77.117,1.577,0.3905,2.337,GUF,119.95774520727072,1.0149958470677751,True,1.5537009383396005,0.5620041529322248,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1380.4392,,-21.861,77.117,1.459,0.3905,2.337,GUF,119.95774520727072,1.0136540643562177,True,1.4393470625766456,0.44534593564378233,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1380.5916,,-21.874,77.117,1.341,0.3905,2.337,GUF,119.95774520727072,1.0123140554261494,True,1.32468772196933,0.3286859445738506,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1380.744,,-22.418,77.117,1.223,0.3905,2.337,GUF,119.95774520727072,1.010975817932704,True,1.2097223081961093,0.21202418206729612,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1380.8964,,-22.962,77.117,1.123,0.3905,2.337,GUF,119.95774520727072,1.0096393495341134,True,1.1122783601076915,0.11336065046588661,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1381.0488,,-23.507,77.117,1.023,0.3905,2.337,GUF,119.95774520727072,1.008304647891711,True,1.014574317532916,0.014695352108288873,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1381.2012,,-24.492,77.117,0.98,0.3905,2.337,GUF,119.95774520727072,1.0069717106699159,False,0.9732150264162116,-0.026971710669915883,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1381.3536,,-24.075,77.117,0.938,0.3905,2.337,GUF,119.95774520727072,1.0056405355362366,False,0.9327388533516414,-0.06764053553623661,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1381.506,,-23.659,77.117,0.896,0.3905,2.337,GUF,119.95774520727072,1.0043111201612633,False,0.8921538176896103,-0.10831112016126332,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1381.6584,,-23.242,77.117,0.875,0.3905,2.337,GUF,119.95774520727072,1.0029834622186715,False,0.8723972358072954,-0.12798346221867152,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1381.8108,,-22.646,77.117,0.855,0.3905,2.337,GUF,119.95774520727072,1.001657559385206,False,0.8535851319534583,-0.14665755938520597,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1381.9632,,-22.05,77.117,0.836,0.3905,2.337,GUF,119.95774520727072,1.0003334093406844,False,0.8357213626914691,-0.1643334093406844,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1382.1156,,-21.454,77.117,0.818,0.3905,2.337,GUF,119.95774520727072,0.9990110097679904,False,0.818809794889019,-0.18101100976799045,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1382.268,,-20.858,77.117,0.8,0.3905,2.337,GUF,119.95774520727072,0.9976903583530761,False,0.8018519907525109,-0.19769035835307602,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1382.4204,,-20.87,77.117,0.781,0.3905,2.337,GUF,119.95774520727072,0.9963714527849469,False,0.783844215746081,-0.21537145278494685,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1382.5728,,-20.883,77.117,0.803,0.3905,2.337,GUF,119.95774520727072,0.9950542907556652,False,0.8069911435587951,-0.19205429075566516,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1382.7252,,-20.895,77.117,0.825,0.3905,2.337,GUF,119.95774520727072,0.9949480983606959,False,0.8291889811732822,-0.1699480983606959,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1382.8776,,-20.908,77.117,0.847,0.3905,2.337,GUF,119.95774520727072,0.9960524879390564,False,0.850356793699233,-0.14905248793905645,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1383.03,,-20.913,77.117,0.869,0.3905,2.337,GUF,119.95774520727072,0.9971581033867291,False,0.8714766465303192,-0.12815810338672906,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1383.1824,,-20.918,77.117,0.915,0.3905,2.337,GUF,119.95774520727072,0.9982649460644252,False,0.9165903336657366,-0.08326494606442514,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1383.3348,,-20.923,77.117,0.961,0.3905,2.337,GUF,119.95774520727072,0.9993730173343682,False,0.9616029083547595,-0.038373017334368265,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,False,False,False,0,Non Prospek
ABAB,ABB-103,1383.4872,,-21.296,77.117,1.007,0.3905,2.337,GUF,119.95774520727072,1.0004823185602887,True,1.0065145393564678,0.006517681439711209,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1383.6396,,-21.668,77.117,1.053,0.3905,2.337,GUF,119.95774520727072,1.0015928511074363,True,1.0513253951800114,0.05140714889256359,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1383.792,,-22.406,77.117,1.099,0.3905,2.337,GUF,119.95774520727072,1.0027046163425737,True,1.0960356440849646,0.09629538365742629,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1383.9444,,-23.144,77.117,1.139,0.3905,2.337,GUF,119.95774520727072,1.003817615633983,True,1.1346682726628976,0.13518238436601693,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1384.0968,,-23.058,77.117,1.179,0.3905,2.337,GUF,119.95774520727072,1.00493185035146,True,1.1732138846904518,0.17406814964854012,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1384.2492,,-22.972,77.117,1.219,0.3905,2.337,GUF,119.95774520727072,1.0060473218663253,True,1.2116726256361627,0.2129526781336748,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1384.4016,,-22.886,77.117,1.232,0.3905,2.337,GUF,119.95774520727072,1.0071640315514208,True,1.2232366937312538,0.22483596844857923,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1384.554,,-22.366,77.117,1.246,0.3905,2.337,GUF,119.95774520727072,1.0082819807811136,True,1.2357654145864303,0.23771801921888636,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1384.7064,,-21.846,77.117,1.259,0.3905,2.337,GUF,119.95774520727072,1.0094011709312916,True,1.247274162401084,0.24959882906870834,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1384.8588,,-21.326,77.117,1.272,0.3905,2.337,GUF,119.95774520727072,1.0105216033793742,True,1.2587558699845633,0.2614783966206258,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1385.0112,,-21.569,77.117,1.263,0.3905,2.337,GUF,119.95774520727072,1.011643279504309,True,1.248463787174914,0.2513567204956908,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
ABAB,ABB-103,1385.1636,,-21.813,77.117,1.254,0.3905,2.337,GUF,119.95774520727072,1.0127662006865754,True,1.238192979929511,0.2412337993134246,0.39049999999999996,False,-5.551115123125783e-17,2.337,False,0.0,True,False,False,1,Zona Lemah
